"Familia","Binomio","N. Fontes","Flora e Funga do Brasil, 2014","Cardoso et all, 2017","Arieira et all, 2021","wcvp_plant_name_id","wcvp_taxon_rank","wcvp_taxon_status","wcvp_family","wcvp_taxon_name","wcvp_taxon_authors","wcvp_accepted_plant_name_id","wcvp_reviewed","wcvp_searchedName","wcvp_taxon_status_of_searchedName","wcvp_plant_name_id_of_searchedName","wcvp_taxon_authors_of_searchedName","wcvp_searchNotes","fb2020_taxonID","fb2020_acceptedNameUsageID","fb2020_scientificName","fb2020_taxonRank","fb2020_scientificNameAuthorship","fb2020_taxonomicStatus","fb2020_nomenclaturalStatus","fb2020_scientificNamewithoutAuthorship","fb2020_searchNotes","categoria_Ameaca_Portaria_443"
"Fabaceae","Inga cecropietorum",2,1,,1,2865127,"Species","Accepted","Fabaceae","Inga cecropietorum","Ducke",2865127,"Y","Inga cecropietorum",,,,"Accepted",22992,,"Inga cecropietorum Ducke","ESPECIE","Ducke","NOME_ACEITO","NOME_CORRETO","Inga cecropietorum","NOME_ACEITO",
"Fabaceae","Inga chartacea",2,1,,1,2865130,"Species","Accepted","Fabaceae","Inga chartacea","Poepp.",2865130,"Y","Inga chartacea",,,,"Accepted",22993,,"Inga chartacea Poepp. & Endl.","ESPECIE","Poepp. & Endl.","NOME_ACEITO","NOME_CORRETO","Inga chartacea","NOME_ACEITO",
"Fabaceae","Inga chrysantha",2,1,,1,2865137,"Species","Accepted","Fabaceae","Inga chrysantha","Ducke",2865137,"Y","Inga chrysantha",,,,"Accepted",78860,,"Inga chrysantha Ducke","ESPECIE","Ducke","NOME_ACEITO","NOME_CORRETO","Inga chrysantha","NOME_ACEITO",
"Fabaceae","Inga ciliata",1,,,1,2865139,"Species","Accepted","Fabaceae","Inga ciliata","C.Presl",2865139,"Y","Inga ciliata","Accepted|Illegitimate","2865139|2865140","C.Presl|Poepp.","Accepted among homonyms",22995,,"Inga ciliata C.Presl","ESPECIE","C.Presl","NOME_ACEITO","NOME_CORRETO","Inga ciliata","NOME_ACEITO",
"Fabaceae","Inga cinnamomea",2,1,,1,2865144,"Species","Accepted","Fabaceae","Inga cinnamomea","Spruce ex Benth.",2865144,"Y","Inga cinnamomea",,,,"Accepted",22997,,"Inga cinnamomea Spruce ex Benth.","ESPECIE","Spruce ex Benth.","NOME_ACEITO","NOME_CORRETO","Inga cinnamomea","NOME_ACEITO",
"Fabaceae","Inga cocleensis",1,,,1,2865153,"Species","Accepted","Fabaceae","Inga cocleensis","Pittier",2865153,"Y","Inga cocleensis",,,,"Accepted",,,,,,,,,"Not found",
"Fabaceae","Inga cordatoalata",2,1,,1,2865175,"Species","Accepted","Fabaceae","Inga cordatoalata","Ducke",2865175,"Y","Inga cordatoalata",,,,"Accepted",78861,,"Inga cordatoalata Ducke","ESPECIE","Ducke","NOME_ACEITO","NOME_CORRETO","Inga cordatoalata","NOME_ACEITO",
"Fabaceae","Inga cordistipula",1,,,1,2865176,"Species","Accepted","Fabaceae","Inga cordistipula","Mart.",2865176,"Y","Inga cordistipula",,,,"Accepted",100928,,"Inga cordistipula Mart.","ESPECIE","Mart.","NOME_ACEITO","NOME_CORRETO","Inga cordistipula","NOME_ACEITO",
"Fabaceae","Inga coruscans",2,1,,1,2865182,"Species","Accepted","Fabaceae","Inga coruscans","Humb. & Bonpl. ex Willd.",2865182,"Y","Inga coruscans",,,,"Accepted",22998,,"Inga coruscans Humb. & Bonpl. ex Willd.","ESPECIE","Humb. & Bonpl. ex Willd.","NOME_ACEITO","NOME_CORRETO","Inga coruscans","NOME_ACEITO",
"Fabaceae","Inga cylindrica",2,1,,1,2865196,"Species","Accepted","Fabaceae","Inga cylindrica","(Vell.) Mart.",2865196,"Y","Inga cylindrica",,,,"Accepted",22999,,"Inga cylindrica (Vell.) Mart.","ESPECIE","(Vell.) Mart.","NOME_ACEITO","NOME_CORRETO","Inga cylindrica","NOME_ACEITO",
"Fabaceae","Inga cynometrifolia",1,,,1,2865197,"Species","Accepted","Fabaceae","Inga cynometrifolia","Harms",2865197,"Y","Inga cynometrifolia",,,,"Accepted",,,,,,,,,"Not found",
"Fabaceae","Inga densiflora",1,,,1,2865203,"Species","Accepted","Fabaceae","Inga densiflora","Benth.",2865203,"Y","Inga densiflora",,,,"Accepted",,,,,,,,,"Not found",
"Fabaceae","Inga disticha",2,1,,1,2865209,"Species","Accepted","Fabaceae","Inga disticha","Benth.",2865209,"Y","Inga disticha",,,,"Accepted",83230,,"Inga disticha Benth.","ESPECIE","Benth.","NOME_ACEITO","NOME_CORRETO","Inga disticha","NOME_ACEITO",
"Fabaceae","Inga duckei",2,1,,1,2865218,"Species","Accepted","Fabaceae","Inga duckei","Huber",2865218,"Y","Inga duckei",,,,"Accepted",78863,,"Inga duckei Huber","ESPECIE","Huber","NOME_ACEITO","NOME_CORRETO","Inga duckei","NOME_ACEITO",
"Fabaceae","Inga dwyeri",1,,,1,2865223,"Species","Accepted","Fabaceae","Inga dwyeri","M.Sousa",2865223,"Y","Inga dwyeri",,,,"Accepted",,,,,,,,,"Not found",
"Fabaceae","Inga edulis",2,1,,1,2865225,"Species","Accepted","Fabaceae","Inga edulis","Mart.",2865225,"Y","Inga edulis",,,,"Accepted",23000,,"Inga edulis Mart.","ESPECIE","Mart.","NOME_ACEITO","NOME_CORRETO","Inga edulis","NOME_ACEITO",
"Fabaceae","Inga exilis",2,1,,1,2865253,"Species","Accepted","Fabaceae","Inga exilis","T.D.Penn.",2865253,"Y","Inga exilis",,,,"Accepted",83235,,"Inga exilis T.D.Penn.","ESPECIE","T.D.Penn.","NOME_ACEITO","NOME_CORRETO","Inga exilis","NOME_ACEITO",
"Fabaceae","Inga expansa",1,,,1,2865254,"Species","Accepted","Fabaceae","Inga expansa","Rusby",2865254,"Y","Inga expansa",,,,"Accepted",,,,,,,,,"Not found",
"Fabaceae","Inga extra-nodis",1,,,1,2865255,"Species","Accepted","Fabaceae","Inga extra-nodis","T.D.Penn.",2865255,"Y","Inga extra-nodis",,,,"Accepted",,,,,,,,,"Not found",
"Fabaceae","Inga fanchoniana",1,,,1,2865272,"Species","Accepted","Fabaceae","Inga fanchoniana","Poncy",2865272,"Y","Inga fanchoniana",,,,"Accepted",,,,,,,,,"Not found",
"Fabaceae","Inga fastuosa",1,,,1,2865277,"Species","Accepted","Fabaceae","Inga fastuosa","(Jacq.) Willd.",2865277,"Y","Inga fastuosa",,,,"Accepted",,,,,,,,,"Not found",
"Fabaceae","Inga fendleriana",1,,,1,2865279,"Species","Accepted","Fabaceae","Inga fendleriana","Benth.",2865279,"Y","Inga fendleriana",,,,"Accepted",,,,,,,,,"Not found",
"Fabaceae","Inga flagelliformis",2,1,,1,2865290,"Species","Accepted","Fabaceae","Inga flagelliformis","(Vell.) Mart.",2865290,"Y","Inga flagelliformis",,,,"Accepted",83236,,"Inga flagelliformis (Vell.) Mart.","ESPECIE","(Vell.) Mart.","NOME_ACEITO","NOME_CORRETO","Inga flagelliformis","NOME_ACEITO",
