"Traid"
"stem wood density"
"whole plant growth form"
"minimum whole plant height"
"maximum whole plant height"
"fruit type"
"whole plant height"
"diameter at breast height (1.3 m)"
"whole plant vegetative phenology"
"leaf thickness"
"vessel lumen area"
"vessel number"
"leaf area"
"leaf area per leaf dry mass"
"leaf dry mass per leaf fresh mass"
"leaf phosphorus content per leaf dry mass"
"leaf stomatal conductance for H2O per leaf area"
"leaf photosynthetic rate per leaf area"
"leaf photosynthetic rate per leaf dry mass"
"leaf life span"
"leaf stomatal conductance per leaf area"
"maximum whole plant longevity"
