" Family","Species","Habitat association","Country","State_Province","County","Localidade","decimalLatitude","decimalLongitude","initialYearSampling","initialMonthSampling","finalYearSampling","finalMonthSampling","seasons","typeVegatation","methodsID","Mean HAND position (m)","Mean HAND position (m)","Mean P50 (MPa) ","Mean P (mg kg1)"
"Lecythidaceae","Eschweilera pseudodecolorans","plateau","Amazonas","Manaus","Reserva Florestal Adolpho Ducke","-2.916667","-59.966667",,,,,,,,"pneumatic method (Pereira
et al., 2016; Zhang et al., 2018)","29.7","(12.6–43.7)","-3.25","3.24"
"Lecythidaceae","Eschweilera truncata","plateau","Amazonas","Manaus","Reserva Florestal Adolpho Ducke","-2.916667","-59.966667",,,,,,,,"pneumatic method (Pereira
et al., 2016; Zhang et al., 2018)","25.3","(8.0–41.4)","-2.43","3.22"
"Lecythidaceae","Eschweilera coriacea","generalist","Amazonas","Manaus","Reserva Florestal Adolpho Ducke","-2.916667","-59.966667",,,,,,,,"pneumatic method (Pereira
et al., 2016; Zhang et al., 2018)","17.1","(2.8–37.5)","-1.72","3.32"
"Moraceae","Helianthostylis sprucei","plateau","Amazonas","Manaus","Reserva Florestal Adolpho Ducke","-2.916667","-59.966667",,,,,,,,"pneumatic method (Pereira
et al., 2016; Zhang et al., 2018)","26.5","(8.4–41.6)","-4.04","3.07"
"Myristicaceae","Virola venosa","plateau","Amazonas","Manaus","Reserva Florestal Adolpho Ducke","-2.916667","-59.966667",,,,,,,,"pneumatic method (Pereira
et al., 2016; Zhang et al., 2018)","27.68","(8.7–41.4)","-0.84","3.24"
"Myristicaceae","Iryanthera juruensis","valley","Amazonas","Manaus","Reserva Florestal Adolpho Ducke","-2.916667","-59.966667",,,,,,,,"pneumatic method (Pereira
et al., 2016; Zhang et al., 2018)","14.3","(1.8–37.1)","-0.67","3.67"
"Myristicaceae","Iryanthera ulei","valley","Amazonas","Manaus","Reserva Florestal Adolpho Ducke","-2.916667","-59.966667",,,,,,,,"pneumatic method (Pereira
et al., 2016; Zhang et al., 2018)","16.2","(2.3–38.2)","-0.56","4.15"
"Rutaceae","Adiscanthus fusciflorus","valley","Amazonas","Manaus","Reserva Florestal Adolpho Ducke","-2.916667","-59.966667",,,,,,,,"pneumatic method (Pereira
et al., 2016; Zhang et al., 2018)","2.2","(1.4–4.7)","-1.08","3.56"
"Sapotaceae","Micropholis williamii","plateau","Amazonas","Manaus","Reserva Florestal Adolpho Ducke","-2.916667","-59.966667",,,,,,,,"pneumatic method (Pereira
et al., 2016; Zhang et al., 2018)","23.4","(6.2–42.8)","-1.78","3.22"
"Sapotaceae","Chrysophyllum sanguinolentum","valley","Amazonas","Manaus","Reserva Florestal Adolpho Ducke","-2.916667","-59.966667",,,,,,,,"pneumatic method (Pereira
et al., 2016; Zhang et al., 2018)","9.5","(1.6–22.4)","-2.47","3.44"
"Violaceae","Rinorea racemosa","plateau","Amazonas","Manaus","Reserva Florestal Adolpho Ducke","-2.916667","-59.966667",,,,,,,,"pneumatic method (Pereira
et al., 2016; Zhang et al., 2018)","26.2","(5.7–41.6)","-4.18","3.33"
