Cluster,Forest,Region,Site,Family,Species,Pheno,Domin_relat,p50,p88,Psi_min,HSM_p50,HSM_p88,wd_b,MCWD,WDA
TAM,Intermediate DSL,Western Amazon,TAM,Linaceae,Hebepetalum humiriifolium,NA,1.256771634,-1.036122061,-2.747693198,-1.056666667,-0.020544606,1.691026531,0.737665234,-195.2607285,-173
TAM,Intermediate DSL,Western Amazon,TAM,Euphorbiaceae,Hevea guianensis,Evergreen,2.499058942,-2.062501112,-3.914560472,-1.226666667,0.835834445,2.687893805,0.513817612,-195.2607285,-17
TAM,Intermediate DSL,Western Amazon,TAM,Bignoniaceae,Jacaranda copaia,Semideciduous,3.88460906,-1.586135218,-2.497988819,NA,NA,NA,0.465626946,-195.2607285,-195
TAM,Intermediate DSL,Western Amazon,TAM,Violaceae,Leonia glycycarpa,NA,1.041137367,-1.435691248,-2.796085428,-1.083333333,0.352357915,1.712752095,0.566492019,-195.2607285,-114
TAM,Intermediate DSL,Western Amazon,TAM,Chrysobalanaceae,Licania heteromorpha,Evergreen,2.328583536,-2.065695304,-3.414958226,-0.713666667,1.352028637,2.701291559,0.807270647,-195.2607285,-30
TAM,Intermediate DSL,Western Amazon,TAM,Olacaceae,Minquartia guianensis,Evergreen,0.921603264,-1.018763379,-2.006846512,-1.433333333,-0.414569954,0.573513179,0.691959965,-195.2607285,-49
TAM,Intermediate DSL,Western Amazon,TAM,Lauraceae,Ocotea bofo,NA,4.174358296,-1.653548518,-2.587413967,-1.518333333,0.135215185,1.069080634,0.614035195,-195.2607285,-44
TAM,Intermediate DSL,Western Amazon,TAM,Urticaceae,Pourouma minor,NA,5.982566002,-2.044456025,-2.766348646,-1.145,0.899456025,1.621348646,0.74777398,-195.2607285,-168
TAM,Intermediate DSL,Western Amazon,TAM,Sapotaceae,Pouteria torta,Deciduous,2.103911853,-1.720923453,-3.1182302,-1.417666667,0.303256786,1.700563533,0.741820516,-195.2607285,-98
TAM,Intermediate DSL,Western Amazon,TAM,Moraceae,Pseudolmedia laevigata,NA,3.315919739,-1.628536203,-3.391584811,-2.363333333,-0.73479713,1.028251478,0.607297141,-195.2607285,-98
TAM,Intermediate DSL,Western Amazon,TAM,Moraceae,Pseudolmedia laevis,Evergreen,1.654477548,-1.412174915,-2.380360415,-1.682,-0.269825085,0.698360415,0.596031727,-195.2607285,-287
TAM,Intermediate DSL,Western Amazon,TAM,Moraceae,Pseudolmedia macrophylla,Evergreen,0.966686865,-1.035396649,-1.49301562,-1.4,-0.364603351,0.09301562,0.601369608,-195.2607285,-226
TAM,Intermediate DSL,Western Amazon,TAM,Siparunaceae,Siparuna decipiens,Evergreen,0.429371366,-0.817523637,-1.620931011,NA,NA,NA,0.622336034,-195.2607285,-129
TAM,Intermediate DSL,Western Amazon,TAM,Fabaceae,Tachigali polyphylla,Evergreen,1.456334853,-3.148748074,-4.342544294,-2.983333333,0.165414741,1.359210961,0.703430293,-195.2607285,NA
TAM,Intermediate DSL,Western Amazon,TAM,Burseraceae,Tetragastris altissima,Evergreen,0.082675743,-2.785882579,-4.10048021,-1.836333333,0.949549246,2.264146877,0.704332794,-195.2607285,-279
TAM,Intermediate DSL,Western Amazon,TAM,Myristicaceae,Virola sebifera,Semideciduous,0.376902922,-0.59022053,-0.922812055,NA,NA,NA,0.503824407,-195.2607285,-166
TAP,Intermediate DSL,C.Eastern Amazon,TAP,Fabaceae,Chamaecrista xinguensis,NA,6.15,-3.14,-6.05,-2.7,0.44,3.35,1.206,-250.1412241,NA
TAP,Intermediate DSL,C.Eastern Amazon,TAP,Rubiaceae,Coussarea albescens,NA,4.61,-4.86,-6.64,-2.46,2.4,4.18,0.545,-250.1412241,NA
TAP,Intermediate DSL,C.Eastern Amazon,TAP,Humiriaceae,Endopleura uchi,Evergreen,1.01,-1.52,-4.83,-1.1,0.42,3.73,0.736,-250.1412241,-332
TAP,Intermediate DSL,C.Eastern Amazon,TAP,Vochysiaceae,Erisma uncinatum,Evergreen,11.07,-2.13,-3.24,-1.22,0.91,2.02,0.424,-250.1412241,-369
TAP,Intermediate DSL,C.Eastern Amazon,TAP,Sapotaceae,Manilkara huberi,Evergreen,6.74,-1.752366703,-4.512489417,NA,NA,NA,0.881496599,-250.1412241,NA
TAP,Intermediate DSL,C.Eastern Amazon,TAP,Lauraceae,Mezilaurus itauba,Evergreen,1.2,-2.98,-5.54,-1.64,1.34,3.9,0.662,-250.1412241,-204
TAP,Intermediate DSL,C.Eastern Amazon,TAP,Melastomataceae,Miconia lepidota,NA,0.09,-5.02,-6.76,-2.14,2.88,4.62,0.613,-250.1412241,NA
TAP,Intermediate DSL,C.Eastern Amazon,TAP,Olacaceae,Minquartia guianensis,Evergreen,0.07,-2.371721485,-6.032408422,NA,NA,NA,0.78647986,-250.1412241,-49
TAP,Intermediate DSL,C.Eastern Amazon,TAP,Burseraceae,Protium apiculatum,Evergreen,2.15,-1.94,-2.12,-1.44,0.5,0.68,0.506,-250.1412241,-43
TAP,Intermediate DSL,C.Eastern Amazon,TAP,Fabaceae,Tachigali chrysophylla,Evergreen,3.94,-3.791260577,-5.129937741,NA,NA,NA,0.565931177,-250.1412241,-56
